date,district,rainfall_mm,rain_3day_mm,threshold_1day_mm,threshold_3day_mm,flood_intensity
2021-05-13,adilabad,0.07372180680583294,0.0,42.951112216238464,104.99160763969402,0.0
2021-05-14,adilabad,0.7472555977957589,0.0,42.951112216238464,104.99160763969402,0.0
2021-05-15,adilabad,0.006729323164861005,0.8277067277664528,42.951112216238464,104.99160763969402,0.0
2021-05-16,adilabad,1.3165789152446545,2.0705638362052743,42.951112216238464,104.99160763969402,0.0
2021-05-17,adilabad,0.11932331458070225,1.4426315529902176,42.951112216238464,104.99160763969402,0.0
2021-05-18,adilabad,0.046466167708088583,1.4823683975334452,42.951112216238464,104.99160763969402,0.0
2021-05-19,adilabad,0.7901879217391624,0.9559774040279531,42.951112216238464,104.99160763969402,0.0
2021-05-20,adilabad,0.11729322878041662,0.9539473182276674,42.951112216238464,104.99160763969402,0.0
2021-05-13,agarmalwa,0.0,0.0,43.87538666720072,107.25094518649064,0.0
2021-05-14,agarmalwa,0.0,0.0,43.87538666720072,107.25094518649064,0.0
2021-05-15,agarmalwa,0.06279999732971192,0.06279999732971192,43.87538666720072,107.25094518649064,0.0
2021-05-16,agarmalwa,6.966400146484375,7.029200143814087,43.87538666720072,107.25094518649064,0.0
2021-05-17,agarmalwa,8.717400512695313,15.7466006565094,43.87538666720072,107.25094518649064,0.0
2021-05-18,agarmalwa,8.246599731445313,23.930400390625003,43.87538666720072,107.25094518649064,0.0
2021-05-19,agarmalwa,0.20639999389648436,17.17040023803711,43.87538666720072,107.25094518649064,0.0
2021-05-20,agarmalwa,0.5080000305175781,8.960999755859376,43.87538666720072,107.25094518649064,0.0
2021-05-13,ahmadabad,0.0,0.0,40.08263820759316,97.97978228522771,0.0
2021-05-14,ahmadabad,0.0,0.0,40.08263820759316,97.97978228522771,0.0
2021-05-15,ahmadabad,0.32791046598064366,0.32791046598064366,40.08263820759316,97.97978228522771,0.0
2021-05-16,ahmadabad,12.633433783232276,12.96134424921292,40.08263820759316,97.97978228522771,0.0
2021-05-17,ahmadabad,13.997462941639458,26.958807190852376,40.08263820759316,97.97978228522771,0.0
2021-05-18,ahmadabad,30.060373790228546,56.69127051510028,40.08263820759316,97.97978228522771,0.0
2021-05-19,ahmadabad,0.5808954950588853,44.638732226926884,40.08263820759316,97.97978228522771,0.0
2021-05-20,ahmadabad,0.12089551384769269,30.762164799135125,40.08263820759316,97.97978228522771,0.0
2021-05-13,ahmadnagar,0.2129347980886266,0.0,44.40028107808004,108.53402041308452,0.0
2021-05-14,ahmadnagar,1.8549637725387795,0.0,44.40028107808004,108.53402041308452,0.0
2021-05-15,ahmadnagar,3.09721020684726,5.165108777474666,44.40028107808004,108.53402041308452,0.0
2021-05-16,ahmadnagar,1.1446738865064539,6.096847865892493,44.40028107808004,108.53402041308452,0.0
2021-05-17,ahmadnagar,3.318116118942482,7.560000212296195,44.40028107808004,108.53402041308452,0.0
2021-05-18,ahmadnagar,3.3531158004981885,7.815905805947124,44.40028107808004,108.53402041308452,0.0
2021-05-19,ahmadnagar,1.0640942117442256,7.7353261311848955,44.40028107808004,108.53402041308452,0.0
2021-05-20,ahmadnagar,0.12528986170671988,4.542499873949134,44.40028107808004,108.53402041308452,0.0
2021-05-13,akola,0.0,0.0,44.00078337166435,107.5574704640684,0.0
2021-05-14,akola,0.004666666189829509,0.0,44.00078337166435,107.5574704640684,0.0
2021-05-15,akola,0.26655553181966146,0.271222198009491,44.00078337166435,107.5574704640684,0.0
2021-05-16,akola,3.698444620768229,3.96966681877772,44.00078337166435,107.5574704640684,0.0
2021-05-17,akola,0.022111111217074923,3.9871112638049655,44.00078337166435,107.5574704640684,0.0
2021-05-18,akola,3.5195553249782985,7.2401110569636025,44.00078337166435,107.5574704640684,0.0
